Num,Title,Actors [4],Director,Genre,Year
1,The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",Frank Darabont,Crime,1994
2,The Godfather,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",Francis Ford Coppola,Crime,1972
3,The Godfather: Part II,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro",Francis Ford Coppola,Crime,1974
4,The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Christopher Nolan,Action,2008
5,12 Angry Men,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall",Sidney Lumet,Crime,1957
6,Schindler's List,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",Steven Spielberg,Biography,1993
7,The Lord of the Rings: The Return of the King,"Noel Appleby, Ali Astin, Sean Astin, David Aston",Peter Jackson,Adventure,2003
8,Pulp Fiction,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta",Quentin Tarantino,Crime,1994
9,Fight Club,"Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier",David Fincher,Drama,1999
10,The Lord of the Rings: The Fellowship of the Ring,"Alan Howard, Noel Appleby, Sean Astin, Sala Baker",Peter Jackson,Adventure,2001
11,Forrest Gump,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys",Robert Zemeckis,Comedy,1994
12,Star Wars: Episode V - The Empire Strikes Back,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",Irvin Kershner,Action,1980
13,Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Christopher Nolan,Action,2010
14,The Lord of the Rings: The Two Towers,"Bruce Allpress, Sean Astin, John Bach, Sala Baker",Peter Jackson,Adventure,2002
15,One Flew Over the Cuckoo's Nest,"Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown",Milos Forman,Drama,1975
16,Goodfellas,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",Martin Scorsese,Crime,1990
17,The Matrix,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Lana Wachowski, Lilly Wachowski",Action,1999
18,Star Wars: Episode IV - A New Hope,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",George Lucas,Action,1977
19,Se7en,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa",David Fincher,Crime,1995
20,It's a Wonderful Life,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",Frank Capra,Drama,1946
21,The Silence of the Lambs,"Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",Jonathan Demme,Crime,1991
22,The Usual Suspects,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",Bryan Singer,Crime,1995
23,Léon: The Professional,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Luc Besson,Crime,1994
24,Saving Private Ryan,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper",Steven Spielberg,Drama,1998
25,City Lights,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",Charles Chaplin,Comedy,1931
26,Interstellar,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",Christopher Nolan,Adventure,2014
27,American History X,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",Tony Kaye,Crime,1998
28,Modern Times,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",Charles Chaplin,Comedy,1936
29,Casablanca,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",Michael Curtiz,Drama,1942
30,The Green Mile,"Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt",Frank Darabont,Crime,1999
31,Psycho,"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh",Alfred Hitchcock,Horror,1960
