Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler
Marlon Brando, Al Pacino, James Caan, Richard S. Castellano
Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro
Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine
Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall
Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall
Noel Appleby, Ali Astin, Sean Astin, David Aston
Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta
Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier
Alan Howard, Noel Appleby, Sean Astin, Sala Baker
Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys
Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams
Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy
Bruce Allpress, Sean Astin, John Bach, Sala Baker
Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown
Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco
Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving
Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing
Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa
James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell
Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz
Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak
Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello
Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper
Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia
Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow
Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien
Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford
Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains
Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt
Anthony Perkins, Vera Miles, John Gavin, Janet Leigh
Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey
Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard
James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter
Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg
Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist
Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick
Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover
Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed
Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings
Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo
Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest
Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior
Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell
William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson
Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton
Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn
Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready
