Frank Darabont
Francis Ford Coppola
Francis Ford Coppola
Christopher Nolan
Sidney Lumet
Steven Spielberg
Peter Jackson
Quentin Tarantino
David Fincher
Peter Jackson
Robert Zemeckis
Irvin Kershner
Christopher Nolan
Peter Jackson
Milos Forman
Martin Scorsese
Lana Wachowski, Lilly Wachowski
George Lucas
David Fincher
Frank Capra
Jonathan Demme
Bryan Singer
Luc Besson
Steven Spielberg
Charles Chaplin
Christopher Nolan
Tony Kaye
Charles Chaplin
Michael Curtiz
Frank Darabont
Alfred Hitchcock
Steven Spielberg
Roman Polanski
Alfred Hitchcock
Martin Scorsese
Damien Chazelle
James Cameron
Robert Zemeckis
Ridley Scott
Roger Allers, Rob Minkoff
Christopher Nolan
Francis Ford Coppola
Christopher Nolan
Charles Chaplin
Billy Wilder
Ridley Scott
Stanley Kubrick
Stanley Kubrick
Quentin Tarantino
Stanley Kubrick
Billy Wilder
Christopher Nolan
Andrew Stanton
Sam Mendes
Sergio Leone
James Cameron
Orson Welles
Alfred Hitchcock
Alfred Hitchcock
Richard Marquand
Mel Gibson
Quentin Tarantino
Billy Wilder
Darren Aronofsky
David Lean
Charles Chaplin
Stanley Kubrick
Milos Forman
Robert Mulligan
Michel Gondry
Stanley Donen, Gene Kelly
Martin Scorsese
George Roy Hill
Lee Unkrich
Stanley Kubrick
Stanley Kubrick
Edgar Wright
John Lasseter
Quentin Tarantino, Eli Roth
Guy Ritchie
Billy Wilder
Joseph L. Mankiewicz
Terry Gilliam, Terry Jones
Brian De Palma
Curtis Hanson
Gus Van Sant
John Huston
Steven Spielberg
Billy Wilder
Christopher Nolan
Pete Docter, Bob Peterson
Carol Reed
Clint Eastwood
Stanley Kramer
Martin Scorsese
John Sturges
Michael Mann
John McTiernan
Charles Chaplin
Roman Polanski
Elia Kazan
Frank Capra
Clyde Bruckman, Buster Keaton
Pete Docter, Ronnie Del Carmen
David Lean
Lenny Abrahamson
Damien Chazelle
James Mangold
Ridley Scott
Guy Ritchie
Martin Scorsese
Ron Howard
David Lynch
Gavin O'Connor
James McTeigue
Martin Scorsese
Alfred Hitchcock
Mel Gibson
Victor Fleming, George Cukor, Sam Wood
Moustapha Akkad
Alfred Hitchcock
Danny Boyle
Michael Cimino
Stuart Rosenberg
Clint Eastwood
Joel Coen, Ethan Coen
John Carpenter
Frank Capra
Joel Coen, Ethan Coen
M. Night Shyamalan
Andrew Stanton, Lee Unkrich
Adam Elliot
Ethan Coen, Joel Coen
Dean DeBlois, Chris Sanders
Paul Thomas Anderson
Sean Penn
Quentin Tarantino
David Fincher
Terry Jones
Sidney Lumet
Martin Scorsese
Jim Sheridan
Ron Howard
Terry George
Oliver Stone
Tomm Moore
William Wyler
Rob Reiner
Lasse Hallström
Robert Hamer
John Huston
George Roy Hill
Giuseppe Tornatore
Tom McCarthy
David Lean
William Wyler
John Ford
Steve McQueen
Wes Anderson
George Miller
Rob Reiner
Robert Aldrich
Clint Eastwood
Steven Spielberg
Orson Welles
Jon Watts
Richard Linklater
Peter Weir
David Yates
J.J. Abrams
Wim Wenders
Peter Bogdanovich
Richard Attenborough
Stanley Kubrick
John G. Avildsen
Woody Allen
Denis Villeneuve
Richard Kelly
Steven Spielberg
John Ford
Otto Preminger
Pete Docter, David Silverman, Lee Unkrich
Paul Greengrass
Richard Brooks
Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor
Joseph L. Mankiewicz
William Wyler
Jacques Tourneur
Otto Preminger
Mike Nichols
James Cameron
Harold Ramis
Tate Taylor
Alfred Hitchcock
Charles Laughton
Lewis Milestone
Gary Trousdale, Kirk Wise
Garth Davis
Terry Gilliam
James Gunn
Sidney Lumet
Steven Spielberg
Jared Bush, Byron Howard, Rich Moore
James Gunn
Gore Verbinski
Richard Linklater
Morten Tyldum
Mel Brooks
Billy Wilder
Lars von Trier
Peter Weir
Fred Zinnemann
Franklin J. Schaffner
Elia Kazan
Frank Capra
Frank Miller, Robert Rodriguez, Quentin Tarantino
Robert Rossen
Sam Wood, Edmund Goulding
Stanley Kubrick
Joss Whedon
Alfred Hitchcock
Henry Koster
Ridley Scott
William Friedkin
Howard Hawks
George Cukor
Alfred Hitchcock
Howard Hawks
Alan Parker
Tom Hooper
Bob Clark
Mike Nichols
Oliver Stone
Billy Bob Thornton
Edward Zwick
Paul Thomas Anderson
Barry Levinson
Alejandro González Iñárritu
Henry Selick
John Frankenheimer
Tim Miller
Sam Peckinpah
Ron Clements, John Musker
Tim Burton
Franklin J. Schaffner
Billy Wilder
Destin Daniel Cretton
Howard Hawks
David Lynch
Danny Boyle, Loveleen Tandan
